Frequencia_Hz,Z_Real,Z_Imaginario,Fase_Graus,Magnitude_Ohm
2709.3538657320514,1876.9922892119887,-328.44605930761946,-9.925428298314493,1905.5122323501275
2734.47367973758,1874.9872476703179,-330.73337310383374,-10.003631407042269,1903.9332296619423
2759.8263924661806,1872.9542582435533,-333.024205213376,-10.082215876405199,1902.3308794031234
2785.414163241766,1870.8930860675819,-335.31823497576954,-10.16117744661695,1900.7049371753485
2811.2391714084642,1868.803499455712,-337.61513412348773,-10.240511673028562,1899.055159379826
2837.3036165162116,1866.6852701028893,-339.9145667510753,-10.320213923008785,1897.3813033517188
2863.6097185081157,1864.538173293839,-342.2161892891553,-10.400279372840034,1895.6831274982424
2890.159717909509,1862.3619881150796,-344.51965048352037,-10.480703004632801,1893.9603914404436
2916.955876018796,1860.156497670699,-346.8245913795269,-10.561479603262216,1892.2128561586553
2944.000475100034,1857.9214893018143,-349.1306453119968,-10.64260375333,1890.4402841416181
2971.295818577334,1855.6567548095927,-351.4374379008436,-10.72406983615557,1888.6424395392523
2998.8442312310276,1853.362090681731,-353.7445870526307,-10.805872026799818,1886.8190883190664
3026.648059395692,1851.0372983222553,-356.05170296827947,-10.888004291125608,1884.9699984261727
3054.709671159968,1848.682184284517,-358.35838815713254,-10.97046038289863,1883.0949399468818
3083.031456568277,1846.2965605072245,-360.6642374575918,-11.053233840933014,1881.1936852758338
3111.6158278243597,1843.8802445533665,-362.96883806453235,-11.136317986285462,1879.2660092866308
3140.465219496752,1841.4330598518488,-365.27176956370965,-11.219705919502557,1877.3116895059134
3169.582088726115,1838.9548359416722,-367.57260397335676,-11.303390517925235,1875.3305062908287
3198.968915434538,1836.4454087184563,-369.8709057931849,-11.38736443305528,1873.322243009827
3228.6282025367304,1833.9046206831126,-372.166232060979,-11.471620087988082,1871.2866862267088
3258.5624761532263,1831.332321192452,-374.4581324169926,-11.556149674916638,1869.2236258878595
3288.77428582551,1828.7283667114984,-376.7461491763261,-11.640945152711303,1867.1328555125626
3319.2662047331896,1826.0926210672849,-379.0298174094858,-11.72599824458048,1865.0141723863267
3350.0408299131327,1823.4249557038715,-381.3086650312955,-11.811300435816873,1862.8673777571005
3381.100782480685,1820.7252499383358,-383.58221289834614,-11.896842971634731,1860.6922770342783
3412.4487078528896,1817.9933912174624,-385.84997491514486,-11.98261685510288,1858.488679990381
3444.0872759738236,1815.229275374853,-388.1114581491318,-12.068612845179048,1856.2564009652758
3476.0191815419776,1812.4328068881591,-390.366162954714,-12.154821454850582,1853.995259072816
3508.2471442397923,1809.6038991361406,-392.6135831064667,-12.241232949387093,1851.70507840974
3540.7739089652696,1806.7424746552306,-394.85320594163244,-12.327837344710261,1849.385688266699
3573.602246065788,1803.8484653952805,-397.08451251205076,-12.414624405886496,1847.0369233412312
3606.734951574028,1800.9218129741546,-399.3069777456286,-12.501583645747822,1844.6586239525361
3640.1748474461415,1797.9624689308189,-401.5200706174608,-12.588704323646688,1842.2506362578508
3673.924781802074,1794.9703949765778,-403.72325433068835,-12.675975444350204,1839.8128124702616
3707.9876291681726,1791.9455632440802,-405.91598650717964,-12.763385757079599,1837.3450110777344
3742.366290721981,1788.8879565337324,-408.0977193880949,-12.850923754700323,1834.8470970631852
3777.0636945393644,1785.7975685571216,-410.2679000443947,-12.938577673068806,1832.318942125351
3812.082795843888,1782.6744041770626,-412.4259705973215,-13.026335490541205,1829.7604249002623
3847.426577258506,1779.5184796438691,-414.57136844888356,-13.114184927650008,1827.1714311830751
3883.098049059605,1776.3298228274339,-416.70352652234527,-13.202113446954112,1824.5518541500273
3919.100249433402,1773.108473444709,-418.8218735127152,-13.290108253067997,1821.901594580269
3955.4362447347016,1769.8544832821594,-420.92583414720315,-13.378156292875545,1819.2205610773199
3992.1091297480534,1766.5679164127735,-423.0148294556027,-13.46624425593401,1816.5086702898834
4029.1220279513477,1763.2488494071833,-425.088277050537,-13.554358575073772,1813.7658471317486
4066.478091781854,1759.8973715384723,-427.14559141748543,-13.642485427199135,1810.9920250005014
4104.180502904709,1756.513584980226,-429.1861842144879,-13.730610734295478,1808.1871459947604
4142.232472483898,1753.0976049973892,-431.2094645814092,-13.818720164648084,1805.3511611296478
4180.637241455758,1749.64956012948,-433.21483945861905,-13.906799134277689,1802.484030550185
4219.398080805024,1746.1695923657244,-435.20171391493056,-13.994832808597828,1799.5857237423209
4258.518291843415,1742.6578573116683,-437.16949148460714,-14.082806104298696,1796.656219741274
4298.001206490799,1739.1145243468272,-439.1175745132397,-14.170703691462315,1793.6955073368727
4337.850187558989,1735.5397767729296,-441.04536451226704,-14.258509995913657,1790.7035852755723
4378.068629038166,1731.9338119523286,-442.9522625218907,-14.346209201811918,1787.6804624588215
4418.659956385942,1728.296841436144,-444.837669482116,-14.433785254486276,1784.626158137449
4459.627626819096,1724.629091081721,-446.70098661162564,-14.521221863519957,1781.5407021017409
4500.975129608047,1720.9308011589783,-448.5416157941782,-14.608502506086632,1778.4241348668588
4542.705986374043,1717.2022264452394,-450.35895997218813,-14.695610430542448,1775.2765078532746
4584.823751389096,1713.44363630816,-452.1524235471375,-14.782528660277098,1772.097883561876
4627.332011878693,1709.6553147763452,-453.9214127864333,-14.869239997826925,1768.8883357433945
4670.234388327335,1705.8375605972938,-455.6653362363166,-14.955727029252918,1765.6479495618262
4713.534534786907,1701.9906872822953,-457.3836051403963,-15.04197212878601,1762.3768217514908
4757.236139187889,1698.1150231379438,-459.07563386336676,-15.127957463741822,1759.0750607674
4801.34292365345,1694.2109112839207,-460.74084031944585,-15.213664999706838,1755.742786928587
4845.858644816496,1690.2787096567386,-462.3786464050504,-15.299076505997494,1752.380132554069
4890.7870941395895,1686.3187909991443,-463.9884784352055,-15.384173561393384,1748.9872420911004
4936.132098237917,1682.3315428348997,-465.56976758316813,-15.468937560145518,1745.5642722353991
4981.89751920516,1678.317367428683,-467.1219503227225,-15.553349718259998,1742.1113920430141
5028.08725494248,1674.2766817308684,-468.64446887259595,-15.637391080057455,1738.6287830335161
5074.705239490466,1670.2099173069757,-470.1367716424153,-15.721042525007679,1735.116639284209
5121.755443364242,1666.1175202515828,-471.5983136796239,-15.804284774839193,1731.5751675150427
5169.2418738915985,1661.9999510865537,-473.02855711674977,-15.887098400922287,1728.0045871639522
5217.168575554349,1657.8576846434185,-474.4269716184137,-15.969463831924433,1724.405130452312
5265.539630332755,1653.691209929807,-475.7930348274468,-16.051361361735832,1720.7770424402518
