frequencia,Z_real,Z_imag,fase
72800,1242.9035454060818,-26.686193377701617,-1.23
73000,1180.3477921302915,16.275786099174535,0.79
73200,1180.3477921302915,16.275786099174535,0.79
73400,1180.3477921302915,16.275786099174535,0.79
73600,1180.3477921302915,16.275786099174535,0.79
73800,1180.3477921302915,16.275786099174535,0.79
74000,1180.3477921302915,16.275786099174535,0.79
74200,1180.3477921302915,16.275786099174535,0.79
74400,1180.3477921302915,16.275786099174535,0.79
74600,1180.3477921302915,16.275786099174535,0.79
74800,1214.9540569218957,77.29002308854032,3.64
75000,1180.3477921302915,16.275786099174535,0.79
75200,1214.9540569218957,77.29002308854032,3.64
75400,1214.9540569218957,77.29002308854032,3.64
75600,1214.9540569218957,77.29002308854032,3.64
75800,1214.9540569218957,77.29002308854032,3.64
76000,1214.9540569218957,77.29002308854032,3.64
76200,1214.9540569218957,77.29002308854032,3.64
76400,1214.9540569218957,77.29002308854032,3.64
76600,1214.9540569218957,77.29002308854032,3.64
76800,1214.9540569218957,77.29002308854032,3.64
77000,1150.1012941580123,-33.53149677639314,-1.67
77200,1150.1012941580123,-33.53149677639314,-1.67
77400,1150.1012941580123,-33.53149677639314,-1.67
77600,1150.1012941580123,-33.53149677639314,-1.67
77800,1150.1012941580123,-33.53149677639314,-1.67
78000,1150.1012941580123,-33.53149677639314,-1.67
78200,1150.1012941580123,-33.53149677639314,-1.67
78400,1150.1012941580123,-33.53149677639314,-1.67
78600,1150.1012941580123,-33.53149677639314,-1.67
78800,1150.1012941580123,-33.53149677639314,-1.67
79000,1150.1012941580123,-33.53149677639314,-1.67
79200,1150.1012941580123,-33.53149677639314,-1.67
79400,1150.1012941580123,-33.53149677639314,-1.67
79600,1150.1012941580123,-33.53149677639314,-1.67
79800,1150.1012941580123,-33.53149677639314,-1.67
80000,1185.828067496376,31.25910967718789,1.51
80200,1185.828067496376,31.25910967718789,1.51
80400,1185.828067496376,31.25910967718789,1.51
80600,1185.828067496376,31.25910967718789,1.51
80800,1185.828067496376,31.25910967718789,1.51
81000,1185.828067496376,31.25910967718789,1.51
81200,1185.828067496376,31.25910967718789,1.51
81400,1185.828067496376,31.25910967718789,1.51
81600,1185.828067496376,31.25910967718789,1.51
81800,1185.828067496376,31.25910967718789,1.51
82000,1185.828067496376,31.25910967718789,1.51
82200,1185.828067496376,31.25910967718789,1.51
82400,1185.828067496376,31.25910967718789,1.51
82600,1185.828067496376,31.25910967718789,1.51
82800,1185.828067496376,31.25910967718789,1.51
83000,1185.828067496376,31.25910967718789,1.51
83200,1185.828067496376,31.25910967718789,1.51
83400,1185.828067496376,31.25910967718789,1.51
83600,1185.828067496376,31.25910967718789,1.51
83800,1185.828067496376,31.25910967718789,1.51
84000,1185.828067496376,31.25910967718789,1.51
84200,1185.828067496376,31.25910967718789,1.51
84400,1185.828067496376,31.25910967718789,1.51
84600,1215.5992850864818,103.99990239050354,4.89
84800,1156.0522904480242,-31.079939669780273,-1.54
85000,1156.0522904480242,-31.079939669780273,-1.54
85200,1156.0522904480242,-31.079939669780273,-1.54
85400,1156.0522904480242,-31.079939669780273,-1.54
85600,1156.0522904480242,-31.079939669780273,-1.54
85800,1156.0522904480242,-31.079939669780273,-1.54
86000,1156.0522904480242,-31.079939669780273,-1.54
86200,1156.0522904480242,-31.079939669780273,-1.54
86400,1156.0522904480242,-31.079939669780273,-1.54
86600,1156.0522904480242,-31.079939669780273,-1.54
86800,1156.0522904480242,-31.079939669780273,-1.54
87000,1156.0522904480242,-31.079939669780273,-1.54
87200,1156.0522904480242,-31.079939669780273,-1.54
87400,1156.0522904480242,-31.079939669780273,-1.54
87600,1156.0522904480242,-31.079939669780273,-1.54
87800,1156.0522904480242,-31.079939669780273,-1.54
88000,1156.0522904480242,-31.079939669780273,-1.54
88200,1156.0522904480242,-31.079939669780273,-1.54
88400,1156.0522904480242,-31.079939669780273,-1.54
